pheromDecay,uniformedCorr,infomredCorr,travelGiveUp,searchGiveUp,pheromLaying,chargeLeave,chargeReturn,siteFidelity
0.000823,0.481555,0.095553,0.41757,0.00902,0.410032,0.871224,0.779234,16.0498
Date-time,numTagsFound,numObstacleCalls,numDeadRobots
20150304_10:46:45,0,0,TBD
20150304_10:46:46,0,0,TBD
20150304_10:46:47,0,0,TBD
20150304_10:46:48,0,0,TBD
20150304_10:46:49,0,0,TBD
20150304_10:46:50,0,0,TBD
20150304_10:46:51,0,0,TBD
20150304_10:46:52,0,0,TBD
20150304_10:46:53,0,0,TBD
20150304_10:46:54,0,0,TBD
20150304_10:46:55,0,0,TBD
20150304_10:46:56,0,0,TBD
20150304_10:46:57,0,0,TBD
20150304_10:46:58,0,0,TBD
20150304_10:46:59,0,0,TBD
20150304_10:47:00,0,0,TBD
20150304_10:47:01,0,0,TBD
20150304_10:47:02,0,0,TBD
20150304_10:47:03,0,0,TBD
20150304_10:47:04,0,0,TBD
20150304_10:47:05,0,0,TBD
20150304_10:47:06,0,0,TBD
20150304_10:47:07,0,0,TBD
20150304_10:47:08,0,0,TBD
20150304_10:47:09,0,0,TBD
20150304_10:47:10,0,0,TBD
20150304_10:47:11,0,0,TBD
20150304_10:47:12,0,0,TBD
20150304_10:47:13,0,0,TBD
20150304_10:47:14,0,0,TBD
20150304_10:47:15,0,0,TBD
20150304_10:47:16,0,0,TBD
20150304_10:47:17,0,0,TBD
20150304_10:47:18,0,0,TBD
20150304_10:47:19,0,0,TBD
20150304_10:47:20,0,0,TBD
20150304_10:47:21,0,0,TBD
20150304_10:47:22,0,0,TBD
20150304_10:47:23,0,0,TBD
20150304_10:47:24,0,0,TBD
20150304_10:47:25,0,0,TBD
20150304_10:47:26,0,0,TBD
20150304_10:47:27,0,0,TBD
20150304_10:47:28,0,0,TBD
20150304_10:47:29,0,0,TBD
20150304_10:47:30,0,0,TBD
20150304_10:47:31,0,0,TBD
20150304_10:47:32,0,0,TBD
20150304_10:47:33,0,0,TBD
20150304_10:47:34,0,0,TBD
20150304_10:47:35,0,0,TBD
20150304_10:47:36,0,0,TBD
20150304_10:47:37,0,0,TBD
20150304_10:47:38,0,0,TBD
20150304_10:47:39,0,0,TBD
20150304_10:47:40,0,0,TBD
20150304_10:47:41,0,0,TBD
20150304_10:47:42,0,0,TBD
20150304_10:47:43,0,0,TBD
20150304_10:47:44,0,0,TBD
20150304_10:47:45,0,0,TBD
20150304_10:47:46,0,0,TBD
20150304_10:47:47,0,0,TBD
20150304_10:47:48,0,0,TBD
20150304_10:47:49,0,0,TBD
20150304_10:47:50,0,0,TBD
20150304_10:47:51,0,0,TBD
20150304_10:47:52,0,0,TBD
20150304_10:47:53,0,0,TBD
20150304_10:47:54,0,0,TBD
20150304_10:47:55,0,0,TBD
20150304_10:47:56,0,0,TBD
20150304_10:47:57,0,0,TBD
20150304_10:47:58,0,0,TBD
20150304_10:47:59,0,0,TBD
20150304_10:48:00,0,0,TBD
20150304_10:48:01,0,0,TBD
20150304_10:48:02,0,0,TBD
20150304_10:48:03,0,0,TBD
20150304_10:48:04,0,0,TBD
20150304_10:48:05,0,0,TBD
20150304_10:48:06,0,0,TBD
20150304_10:48:07,0,0,TBD
20150304_10:48:08,0,0,TBD
20150304_10:48:09,0,0,TBD
20150304_10:48:10,0,0,TBD
20150304_10:48:11,0,0,TBD
20150304_10:48:12,0,0,TBD
20150304_10:48:13,0,0,TBD
20150304_10:48:14,0,0,TBD
20150304_10:48:15,0,0,TBD
20150304_10:48:16,0,0,TBD
20150304_10:48:17,0,0,TBD
20150304_10:48:18,0,0,TBD
20150304_10:48:19,0,0,TBD
20150304_10:48:20,0,0,TBD
20150304_10:48:21,0,0,TBD
20150304_10:48:22,0,0,TBD
20150304_10:48:23,0,0,TBD
20150304_10:48:24,0,0,TBD
20150304_10:48:25,0,0,TBD
20150304_10:48:26,0,0,TBD
20150304_10:48:27,0,0,TBD
20150304_10:48:28,0,0,TBD
20150304_10:48:29,0,0,TBD
20150304_10:48:30,0,0,TBD
20150304_10:48:31,0,0,TBD
20150304_10:48:32,0,0,TBD
20150304_10:48:33,0,0,TBD
20150304_10:48:34,0,0,TBD
20150304_10:48:35,0,0,TBD
20150304_10:48:36,0,0,TBD
20150304_10:48:37,0,0,TBD
20150304_10:48:38,0,0,TBD
20150304_10:48:39,0,0,TBD
20150304_10:48:40,0,0,TBD
20150304_10:48:41,0,0,TBD
20150304_10:48:42,0,0,TBD
20150304_10:48:43,0,0,TBD
20150304_10:48:44,0,0,TBD
20150304_10:48:45,0,0,TBD
20150304_10:48:46,0,0,TBD
20150304_10:48:47,0,0,TBD
20150304_10:48:48,0,0,TBD
20150304_10:48:49,0,0,TBD
20150304_10:48:50,0,0,TBD
20150304_10:48:51,0,0,TBD
20150304_10:48:52,0,0,TBD
20150304_10:48:53,0,0,TBD
20150304_10:48:54,0,0,TBD
20150304_10:48:55,0,0,TBD
20150304_10:48:56,0,0,TBD
20150304_10:48:57,0,0,TBD
20150304_10:48:58,0,0,TBD
20150304_10:48:59,0,0,TBD
20150304_10:49:00,0,0,TBD
20150304_10:49:01,0,0,TBD
20150304_10:49:02,0,0,TBD
20150304_10:49:03,0,0,TBD
20150304_10:49:04,0,0,TBD
20150304_10:49:05,0,0,TBD
20150304_10:49:06,0,0,TBD
20150304_10:49:07,0,0,TBD
20150304_10:49:08,0,0,TBD
20150304_10:49:09,0,0,TBD
20150304_10:49:10,0,0,TBD
20150304_10:49:11,0,0,TBD
20150304_10:49:12,0,0,TBD
20150304_10:49:13,0,0,TBD
20150304_10:49:14,0,0,TBD
20150304_10:49:15,0,0,TBD
20150304_10:49:16,0,0,TBD
20150304_10:49:17,0,0,TBD
20150304_10:49:18,0,0,TBD
20150304_10:49:19,0,0,TBD
20150304_10:49:20,0,0,TBD
20150304_10:49:21,0,0,TBD
20150304_10:49:22,0,0,TBD
20150304_10:49:23,0,0,TBD
20150304_10:49:24,0,0,TBD
20150304_10:49:25,0,0,TBD
20150304_10:49:26,0,0,TBD
20150304_10:49:27,0,0,TBD
20150304_10:49:28,0,0,TBD
20150304_10:49:29,0,0,TBD
20150304_10:49:30,0,0,TBD
20150304_10:49:31,0,0,TBD
20150304_10:49:32,0,0,TBD
20150304_10:49:33,0,0,TBD
20150304_10:49:34,0,0,TBD
20150304_10:49:35,0,0,TBD
20150304_10:49:36,0,0,TBD
20150304_10:49:37,0,0,TBD
20150304_10:49:38,0,0,TBD
20150304_10:49:39,0,0,TBD
20150304_10:49:40,0,0,TBD
20150304_10:49:41,0,0,TBD
20150304_10:49:42,0,0,TBD
20150304_10:49:43,0,0,TBD
20150304_10:49:44,0,0,TBD
20150304_10:49:45,0,0,TBD
20150304_10:49:46,0,0,TBD
20150304_10:49:47,0,0,TBD
20150304_10:49:48,0,0,TBD
20150304_10:49:49,0,0,TBD
20150304_10:49:50,0,0,TBD
20150304_10:49:51,0,0,TBD
20150304_10:49:52,0,0,TBD
20150304_10:49:53,0,0,TBD
20150304_10:49:54,0,0,TBD
20150304_10:49:55,0,0,TBD
20150304_10:49:56,0,0,TBD
20150304_10:49:57,0,0,TBD
20150304_10:49:58,0,0,TBD
20150304_10:49:59,0,0,TBD
20150304_10:50:00,0,0,TBD
20150304_10:50:01,0,0,TBD
20150304_10:50:02,0,0,TBD
20150304_10:50:03,0,0,TBD
20150304_10:50:04,0,0,TBD
20150304_10:50:05,0,0,TBD
20150304_10:50:06,0,0,TBD
20150304_10:50:07,0,0,TBD
20150304_10:50:08,0,0,TBD
20150304_10:50:09,0,0,TBD
20150304_10:50:10,0,0,TBD
20150304_10:50:11,0,0,TBD
20150304_10:50:12,0,0,TBD
20150304_10:50:13,0,0,TBD
20150304_10:50:14,0,0,TBD
20150304_10:50:15,0,0,TBD
20150304_10:50:16,0,0,TBD
20150304_10:50:17,0,0,TBD
20150304_10:50:18,0,0,TBD
20150304_10:50:19,0,0,TBD
20150304_10:50:20,0,0,TBD
20150304_10:50:21,0,0,TBD
20150304_10:50:22,0,0,TBD
20150304_10:50:23,0,0,TBD
20150304_10:50:24,0,0,TBD
20150304_10:50:25,0,0,TBD
20150304_10:50:26,0,0,TBD
20150304_10:50:27,0,0,TBD
20150304_10:50:28,0,0,TBD
20150304_10:50:29,0,0,TBD
20150304_10:50:30,0,0,TBD
20150304_10:50:31,0,0,TBD
20150304_10:50:32,0,0,TBD
20150304_10:50:33,0,0,TBD
20150304_10:50:34,0,0,TBD
20150304_10:50:35,0,0,TBD
20150304_10:50:36,0,0,TBD
20150304_10:50:37,0,0,TBD
20150304_10:50:38,0,0,TBD
20150304_10:50:39,0,0,TBD
20150304_10:50:40,0,0,TBD
20150304_10:50:41,0,0,TBD
20150304_10:50:42,0,0,TBD
20150304_10:50:43,0,0,TBD
20150304_10:50:44,0,0,TBD
20150304_10:50:45,0,0,TBD
20150304_10:50:46,0,0,TBD
20150304_10:50:47,0,0,TBD
20150304_10:50:48,0,0,TBD
20150304_10:50:49,0,0,TBD
20150304_10:50:50,0,0,TBD
20150304_10:50:51,0,0,TBD
20150304_10:50:52,0,0,TBD
20150304_10:50:53,0,0,TBD
20150304_10:50:54,0,0,TBD
20150304_10:50:55,0,0,TBD
20150304_10:50:56,0,0,TBD
20150304_10:50:57,0,0,TBD
20150304_10:50:58,0,0,TBD
20150304_10:50:59,0,0,TBD
20150304_10:51:00,0,0,TBD
20150304_10:51:01,0,0,TBD
20150304_10:51:02,0,0,TBD
20150304_10:51:03,0,0,TBD
20150304_10:51:04,0,0,TBD
20150304_10:51:05,0,0,TBD
20150304_10:51:06,0,0,TBD
20150304_10:51:07,0,0,TBD
20150304_10:51:08,0,0,TBD
20150304_10:51:09,0,0,TBD
20150304_10:51:10,0,0,TBD
