pheromDecay,uniformedCorr,infomredCorr,travelGiveUp,searchGiveUp,pheromLaying,chargeLeave,chargeReturn,siteFidelity
0.000823,0.481555,0.095553,0,0,20,0.871224,0.779234,0
Date-time,numTagsFound,numObstacleCalls,numDeadRobots
20150305_12:20:39,0,0,TBD
20150305_12:20:40,0,0,TBD
20150305_12:20:41,0,0,TBD
20150305_12:20:42,0,0,TBD
20150305_12:20:43,0,0,TBD
20150305_12:20:44,0,0,TBD
20150305_12:20:45,0,0,TBD
20150305_12:20:46,0,0,TBD
20150305_12:20:47,0,0,TBD
20150305_12:20:48,0,0,TBD
20150305_12:20:49,0,0,TBD
20150305_12:20:50,0,0,TBD
20150305_12:20:51,0,0,TBD
20150305_12:20:52,0,0,TBD
20150305_12:20:53,0,0,TBD
20150305_12:20:54,0,0,TBD
20150305_12:20:55,0,0,TBD
20150305_12:20:56,0,0,TBD
20150305_12:20:57,0,0,TBD
20150305_12:20:58,0,0,TBD
20150305_12:20:59,0,0,TBD
20150305_12:21:00,0,0,TBD
20150305_12:21:01,0,0,TBD
20150305_12:21:02,0,0,TBD
20150305_12:21:03,0,0,TBD
20150305_12:21:04,0,0,TBD
20150305_12:21:05,0,0,TBD
20150305_12:21:06,0,0,TBD
20150305_12:21:07,0,0,TBD
20150305_12:21:08,0,0,TBD
20150305_12:21:09,0,0,TBD
20150305_12:21:10,0,0,TBD
20150305_12:21:11,0,0,TBD
20150305_12:21:12,0,0,TBD
20150305_12:21:13,0,0,TBD
20150305_12:21:14,0,0,TBD
20150305_12:21:15,0,0,TBD
20150305_12:21:16,0,0,TBD
20150305_12:21:17,0,0,TBD
20150305_12:21:18,0,0,TBD
20150305_12:21:19,0,0,TBD
20150305_12:21:20,0,0,TBD
20150305_12:21:21,0,0,TBD
20150305_12:21:22,0,0,TBD
20150305_12:21:23,0,0,TBD
20150305_12:21:24,0,0,TBD
20150305_12:21:25,0,0,TBD
20150305_12:21:26,0,0,TBD
20150305_12:21:27,0,0,TBD
20150305_12:21:28,1,0,TBD
20150305_12:21:29,1,0,TBD
20150305_12:21:30,1,0,TBD
20150305_12:21:31,1,0,TBD
20150305_12:21:32,1,0,TBD
20150305_12:21:33,1,0,TBD
20150305_12:21:34,1,0,TBD
20150305_12:21:35,1,0,TBD
20150305_12:21:36,1,0,TBD
20150305_12:21:37,1,0,TBD
20150305_12:21:38,1,0,TBD
20150305_12:21:39,1,0,TBD
20150305_12:21:40,1,0,TBD
20150305_12:21:41,1,0,TBD
